year,week,max_price,min_price,avg_price,date,keyword,SVI,log_SVI,ASVI
2008,52,21.952577590942383,21.669315338134766,21.80386085510254,2008-12-28,2317,0,-Inf,NA
2009,1,25.210046768188477,22.73153305053711,24.20978879928589,2009-01-04,2317,6.56,1.8809906029559975,NA
2009,10,26.732563018798828,24.07701301574707,25.295025634765626,2009-03-08,2317,9.8,2.2823823856765264,Inf
2009,11,26.09522819519043,24.254043579101562,25.33751220703125,2009-03-15,2317,0,-Inf,NA
2009,12,28.078044891357422,25.49330711364746,26.449303817749023,2009-03-22,2317,0,-Inf,NA
2009,13,28.042640686035156,26.661746978759766,27.38760232925415,2009-03-29,2317,9.8,2.2823823856765264,Inf
2009,14,29.104854583740234,27.61775016784668,28.15594062805176,2009-04-05,2317,10.75,2.3749057545736716,Inf
2009,15,32.220706939697266,28.715377807617188,30.315792083740234,2009-04-12,2317,9.75,2.277267285009756,Inf
2009,16,32.57478332519531,31.689599990844727,32.220709228515624,2009-04-19,2317,10.25,2.327277705584417,0.3149144579138019
2009,17,32.18529510498047,31.12308692932129,31.675434112548828,2009-04-26,2317,0,-Inf,-Inf
2009,18,41.072547912597656,33.849449157714844,37.4078893661499,2009-05-03,2317,14.1,2.6461747973841225,0.3663499620409816
2009,19,40.89552307128906,37.70885467529297,39.585446166992185,2009-05-10,2317,20.4,3.0155349008501706,0.7357100655070297
2009,2,23.47509002685547,22.271236419677734,22.7527774810791,2009-01-11,2317,0,-Inf,NA
2009,20,41.072547912597656,36.64662170410156,39.44381408691406,2009-05-17,2317,16.2,2.785011242238338,0.4801811966078664
2009,21,43.55107116699219,40.364402770996094,41.32040634155273,2009-05-24,2317,15.3,2.72785282839839,0.37676109831934523
2009,22,48.18731689453125,39.479217529296875,44.73547490437826,2009-05-31,2317,14.1,2.6461747973841225,0.13563452140522525
2009,23,44.4806022644043,42.421302795410156,43.656881713867186,2009-06-07,2317,12.5,2.5257286443082556,-0.12044615307586692
2009,24,42.83317565917969,39.620689392089844,40.97981643676758,2009-06-14,2317,0,-Inf,-Inf
2009,25,43.039093017578125,40.279659271240234,41.474038696289064,2009-06-21,2317,11,2.3978952727983707,-0.24827952458575187
2009,26,42.83317565917969,41.020992279052734,42.058878326416014,2009-06-28,2317,9.5,2.2512917986064953,-0.3948829987776272
2009,27,43.039093017578125,41.803531646728516,42.29775390625,2009-07-05,2317,0,-Inf,-Inf
2009,28,46.53989028930664,43.450958251953125,44.89245758056641,2009-07-12,2317,12,2.4849066497880004,0.023094691234687215
2009,29,47.36359786987305,45.7161750793457,46.74581451416016,2009-07-19,2317,10.56,2.3570732782781154,-0.08432768301506988
2009,3,22.02338409423828,20.89034652709961,21.605577850341795,2009-01-18,2317,0,-Inf,NA
2009,30,46.95174026489258,44.892459869384766,45.79854278564453,2009-07-26,2317,9.12,2.21046980408624,-0.16701447145200277
2009,31,46.95174026489258,45.098384857177734,46.128031158447264,2009-08-02,2317,0,-Inf,-Inf
2009,32,44.892459869384766,43.656883239746094,44.43941421508789,2009-08-09,2317,8.74,2.167910189667444,-0.06297061167892393
2009,33,45.30431365966797,43.039093017578125,43.94518356323242,2009-08-16,2317,12.88,2.5556757206762075,0.3247949193298396
2009,34,45.30431365966797,43.245025634765625,44.39822692871094,2009-08-23,2317,0,-Inf,-Inf
2009,35,50.6584587097168,44.892459869384766,47.157675170898436,2009-08-30,2317,11.73,2.462149662665384,0.2729596657885418
2009,36,52.717750549316406,49.83474349975586,51.19387588500977,2009-09-06,2317,21.08,3.0483247236731614,0.7645531824909835
2009,37,52.51181411743164,50.452537536621094,51.523362731933595,2009-09-13,2317,0,-Inf,-Inf
2009,38,53.129608154296875,50.8643913269043,52.14114837646484,2009-09-20,2317,16.12,2.7800607370784824,0.5908707402016402
2009,39,53.129608154296875,50.8643913269043,51.68810501098633,2009-09-27,2317,0,-Inf,-Inf
2009,40,53.129608154296875,51.482173919677734,52.55300674438477,2009-10-04,2317,12.42,2.519308076505333,0.20427815033891905
2009,41,53.335533142089844,51.89403533935547,52.38826065063476,2009-10-11,2317,17.28,2.8495497633759097,0.3588208937905515
2009,42,54.77703857421875,53.541473388671875,54.24161987304687,2009-10-18,2317,11.07,2.4042387467205457,-0.0864901228648125
2009,43,56.83631896972656,54.365177154541016,55.847863006591794,2009-10-25,2317,14.31,2.6609585935683597,0.1702297239830015
2009,44,53.74739456176758,52.923675537109375,53.45909423828125,2009-11-01,2317,8.84,2.179286876649552,-0.41084645838729417
2009,45,55.39482116699219,54.365177154541016,54.94177932739258,2009-11-08,2317,11.18,2.414126467726953,-0.047646943885986115
2009,46,56.83631896972656,54.15922927856445,55.76548843383789,2009-11-15,2317,15.34,2.73046379593911,0.26374652382296704
2009,47,56.83631896972656,55.60074996948242,56.38327865600586,2009-11-22,2317,8.58,2.149433913499871,-0.317283358616272
2009,48,57.04224395751953,55.60074996948242,56.424462127685544,2009-11-29,2317,9.88,2.2905125117597764,-0.17620476035636656
2009,49,58.27782440185547,56.83631896972656,57.33055038452149,2009-12-06,2317,0,-Inf,-Inf
2009,5,21.598499298095703,21.067384719848633,21.397855758666992,2009-02-01,2317,0,-Inf,NA
2009,50,57.66004180908203,57.04224395751953,57.371734619140625,2009-12-13,2317,0,-Inf,-Inf
2009,51,59.51338577270508,57.04224395751953,57.865962982177734,2009-12-20,2317,17.01,2.8338014064077703,0.5989017122031064
2009,52,61.77861022949219,60.74897003173828,61.449127960205075,2009-12-27,2317,0,-Inf,-Inf
2009,6,22.83775520324707,21.42146110534668,22.43410987854004,2009-02-08,2317,0,-Inf,NA
2009,7,23.439678192138672,21.84634780883789,22.62530937194824,2009-02-15,2317,0,-Inf,NA
2009,8,23.935380935668945,22.9439754486084,23.375944900512696,2009-02-22,2317,5.74,1.747459210331475,Inf
2009,9,25.457901000976562,24.041608810424805,24.49481964111328,2009-03-01,2317,0,-Inf,NA
2010,1,62.80826950073242,61.77861022949219,62.3449182510376,2010-01-03,2317,0,-Inf,-Inf
2010,10,56.83631896972656,55.18888854980469,56.424459838867186,2010-03-07,2317,12,2.4849066497880004,-0.33276432551065893
2010,11,57.45412063598633,55.18888854980469,56.63039703369141,2010-03-14,2317,7.92,2.0693912058263346,-0.7126482594615795
2010,12,57.45412063598633,56.218536376953125,56.63039627075195,2010-03-21,2317,0,-Inf,-Inf
2010,13,57.66004180908203,55.39482116699219,56.671575927734374,2010-03-28,2317,9.36,2.2364452904895007,-0.2972515234679314
2010,14,59.51338577270508,57.45412063598633,58.68968105316162,2010-04-04,2317,12.48,2.5241273629412815,0.16345139280253118
2010,15,59.51338577270508,58.07189178466797,58.93678970336914,2010-04-11,2317,0,-Inf,-Inf
2010,16,58.68967819213867,56.218536376953125,57.454104614257815,2010-04-18,2317,13.78,2.6232182655855123,0.262542295446762
2010,17,63.01418685913086,59.51338577270508,61.53149642944336,2010-04-25,2317,12.22,2.503073953743449,0.1423979836046989
2010,18,61.16083908081055,58.07189178466797,59.966444396972655,2010-05-02,2317,9.36,2.2364452904895007,-0.12423067964924961
2010,19,59.30746841430664,57.45412063598633,58.0718994140625,2010-05-09,2317,11.76,2.464703942470481,0.22825865198098017
2010,2,61.98453140258789,59.925254821777344,61.119642639160155,2010-01-10,2317,18.48,2.916689066213538,Inf
2010,20,59.101539611816406,55.18888854980469,57.41291961669922,2010-05-16,2317,10.08,2.3105532626432224,-0.04002135383676819
2010,21,54.57110595703125,51.89403533935547,53.294348907470706,2010-05-23,2317,9.36,2.2364452904895007,-0.15118331206735114
2010,22,52.305885314941406,49.21696090698242,51.1115005493164,2010-05-30,2317,18,2.8903717578961645,0.5027431553393127
2010,23,51.276241302490234,45.92210006713867,48.14613037109375,2010-06-06,2317,38,3.6375861597263857,1.2499575571695338
2010,24,50.6584587097168,48.80510711669922,49.73178291320801,2010-06-13,2317,20.52,3.021400020302569,0.537511072195604
2010,25,52.09996032714844,50.452537536621094,50.90557708740234,2010-06-20,2317,0,-Inf,-Inf
2010,26,49.83474349975586,46.745819091796875,48.557989501953124,2010-06-27,2317,23.18,3.1432898379116057,0.7556612353547538
2010,27,49.422882080078125,46.12802505493164,47.85783157348633,2010-07-04,2317,17.5,2.8622008809294686,0.18466303074614565
2010,28,50.8643913269043,49.422882080078125,50.08185958862305,2010-07-11,2317,14,2.6390573296152584,-0.23722898979755813
2010,29,49.628822326660156,49.01103973388672,49.17578048706055,2010-07-18,2317,25.2,3.2268439945173775,0.35055767510456093
2010,3,62.80826950073242,60.131187438964844,61.4491325378418,2010-01-17,2317,22.77,3.125443880075648,Inf
2010,30,53.95331954956055,51.482173919677734,53.211978912353516,2010-07-25,2317,16.8,2.8213788864092133,-0.1345070026901536
2010,31,56.012611389160156,53.129608154296875,54.90059280395508,2010-08-01,2317,10.75,2.3749057545736716,-0.5668946960423473
2010,32,56.012611389160156,53.541473388671875,54.85940856933594,2010-08-08,2317,9,2.1972245773362196,-0.6445653063331211
2010,33,55.60074996948242,53.74739456176758,54.3651741027832,2010-08-15,2317,10.25,2.327277705584417,-0.4029404024278187
2010,34,55.8731803894043,54.77703857421875,55.457037353515624,2010-08-22,2317,0,-Inf,-Inf
2010,35,56.57451248168945,50.73004150390625,53.582139587402345,2010-08-29,2317,13.25,2.583997552432231,0.07701601033776617
2010,36,52.13270568847656,50.02869415283203,50.73003311157227,2010-09-05,2317,12.92,2.558776498354456,0.07932484485150448
2010,37,54.002933502197266,50.496253967285156,53.20808868408203,2010-09-12,2317,18.36,2.9101743851923443,0.44333325872828055
2010,38,55.17182540893555,53.769161224365234,54.23671817779541,2010-09-19,2317,15.64,2.7498317351171653,0.28299060865310155
